The [entries] sheet shows the entries for words with IDs ending in "01" (201, 4701, 53401, etc) 
from the collocates table that is used to create the frequency listings that are based on the 
Corpus of Contemporary American English (COCA).

The complete list is available for purchase. See:

http://www.wordfrequency.info [Purchase]

There are minimum values in terms of collocate frequency and Mutual Information (MI) score
for inclusion in the list.

Mutual Information:
ID 1-5 : MI > -3.5
ID 6-29 : MI > -1
ID: 30-99 : ID > 1
ID: 100-30,000 : ID > 2
ID: 30,000-60,000 : ID > 3

Collocate frequency:
ID 1-40,000 : freq >= 2
ID 40,000-60,000 : freq >= 1

---------------------------------------------

The column [% coll < node] refers to the percentage of the tokens for
this collocate and node word where the collocate precedes the node word.

The node and collocate part of speech (PoS) tags can be found at http://ucrel.lancs.ac.uk/claws7tags.html.

For more information:

http://www.wordfrequency.info: Word frequent lists
http://www.americancorpus.org: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies



ID	lemma	lemPoS	coll	collPoS	MI	freq	[% coll < node]
----	----	----	----	----	----	----	----

101	only	r	not	x	2.39	62512	0.9594
101	only	r	one	m	2.14	24594	0.0875
101	only	r	few	d	2.82	10057	0.0313
101	only	r	percent	n	2.79	9922	0.051
101	only	r	month	n	2.64	2783	0.1546
101	only	r	half	d	2.33	2575	0.0329
101	only	r	minute	n	3.39	2396	0.085
101	only	r	hour	n	2.53	2219	0.1388
101	only	r	second	n	2.72	1571	0.2892
101	only	r	slightly	r	2.94	1472	0.0231
101	only	r	handful	n	4.31	1386	0.0065
101	only	r	foot	n	2.76	1379	0.159
101	only	r	mile	n	3.97	1239	0.0838
101	only	r	last	v	2.76	1035	0.7142
101	only	r	fraction	n	4.63	967	0.0113
101	only	r	limited	j	2.81	947	0.0944
101	only	r	survive	v	2.04	827	0.3575
101	only	r	inch	n	3.54	671	0.068
101	only	r	partially	r	3.61	521	0.025
101	only	r	portion	n	2.17	516	0.0562
101	only	r	minor	j	2.42	484	0.0825
101	only	r	dollar	n	2.33	480	0.3126
101	only	r	rarely	r	2.14	473	0.093
101	only	r	briefly	r	2.67	463	0.0791
101	only	r	temporary	j	2.72	458	0.0824
101	only	r	occasionally	r	2.2	445	0.0467
101	only	r	slight	j	2.44	404	0.0446
101	only	r	cent	n	3.73	388	0.0403
101	only	r	partly	r	2.17	366	0.0572
101	only	r	one-third	m	3.15	340	0.0059
101	only	r	modest	j	2.19	326	0.0736
101	only	r	marginally	r	5.42	316	0.019
101	only	r	occasional	j	2.36	301	0.0498
101	only	r	partial	j	2.81	295	0.061
101	only	r	accessible	j	2.68	277	0.8087
101	only	r	minimal	j	2.38	237	0.0928
101	only	r	acre	n	3.67	204	0.1765
101	only	r	calorie	n	5.01	200	0.1137
101	only	r	vaguely	r	3.24	199	0.0553
101	only	r	speculate	v	2.4	193	0.0297
101	only	r	bad	r	2.47	184	0.057
101	only	r	vague	j	2.32	174	0.0977
101	only	r	temporarily	r	2.42	172	0.0523
101	only	r	exacerbate	v	2.98	156	0.0178
101	only	r	intensify	v	2.44	145	0.0183
101	only	r	deepen	v	2.84	145	0.0125
101	only	r	kilometer	n	4.86	139	0.1079
101	only	r	half	r	2.23	128	0.00
